x,y,w_right,w_left,x_normvec,y_normvec,alpha,s,psj,kappa,vx,ax
132.08348245842888,-73.44980679957524,1.625,1.625,0.7369921901339035,0.6759012588253053,0,10424,-0.8286094213751363,-2.0925000448643145e-14,22.22222189800825,0.0
132.75938371725417,-74.18679898970915,1.625,1.625,0.7369947697697821,0.675898446019804,0,10425,-0.8286132379699608,-7.633189641400836e-06,22.22222189800825,0.0
133.43527934926362,-74.92379633780104,1.625,1.625,0.7371538826879707,0.6757249094402614,0,10426,-0.8288486776977678,-0.00046324624491669966,22.22222189800825,0.0
134.11083349868784,-75.66110671423401,1.625,1.625,0.7373103764329701,0.6755541494242129,0,10427,-0.8290803008303447,-0.0,22.22222189800825,0.0
134.78638764811205,-76.39841709066698,1.625,1.625,0.737303872235778,0.6755612481382629,0,10428,-0.8290706729374143,1.92557860878619e-05,22.22222189800825,0.0
135.46195598687933,-77.1357144498816,1.625,1.625,0.7369501402307439,0.6759471065208335,0,10429,-0.8285472103990772,0.0014390218006072205,22.22222189800825,0.0
135.945012642998,-77.66160594704198,1.625,1.625,0.7369238281446095,0.6759757921055265,0,10430,-0.8285082849749161,-0.0013611852974390586,22.22222189800825,0.0
136.62063018162496,-78.39885823866247,1.625,1.625,0.7372522916204863,0.6756175386269523,0,10431,-0.8289943238772132,-1.1344891359891904e-14,22.22222189800825,0.0
137.2962477202519,-79.13611053028295,1.625,1.625,0.7362197399683265,0.6767425614522629,0,10432,-0.8274672876219229,0.0030540704827674474,22.22222189800825,0.0
137.97411282345163,-79.87129501946566,1.625,1.625,0.734889231276475,0.6781871554031907,0,10433,-0.8255033359163247,0.0008738266804689638,22.22222189800825,0.0
138.6526209966476,-80.60588787193991,1.625,1.625,0.7345928524742469,0.6785081731959826,0,10434,-0.8250664230866485,9.64560565685022e-15,22.22222189800825,0.0
139.3311291698436,-81.34048072441415,1.625,1.625,0.7366824412778643,0.6762388488639838,0,10435,-0.8281512604954178,-0.006169658630751243,22.22222189800825,0.0
140.00508855594217,-82.0792417098686,1.625,1.625,0.7393629427895647,0.6733070910287184,0,10436,-0.8321237047191143,-0.0017751786854481037,22.22222189800825,0.0
140.67773913433615,-82.81920197865756,1.625,1.625,0.7399602687889644,0.6726505783939858,0,10437,-0.8330112897803014,-0.0,22.22222189800825,0.0
141.35038971273013,-83.55916224744652,1.625,1.625,0.7409859876841381,0.671520488187637,0,10438,-0.8345374626337164,-0.0030523664526034477,22.22222189800825,0.0
142.0207727207864,-84.30116579964933,1.625,1.625,0.7439124089636997,0.6682771339719961,0,10439,-0.8389059084009569,-0.005684483433842336,22.22222189800825,0.0
142.6869327844385,-85.0469746019539,1.625,1.625,0.7458088023045903,0.6661600636521169,0,10440,-0.841748143416034,-9.510119194103993e-15,22.22222189800825,0.0
143.35309284809063,-85.7927834042585,1.625,1.625,0.7458088023045832,0.6661600636521249,0,10441,-0.8417481434160233,3.069174830824383e-14,22.22222189800825,0.0
144.01925291174277,-86.53859220656308,1.625,1.625,0.7458088023045801,0.6661600636521283,0,10442,-0.8417481434160187,-2.1181629114140046e-14,22.22222189800825,0.0
144.68541297539488,-87.28440100886766,1.625,1.625,0.7458088023045872,0.6661600636521204,0,10443,-0.8417481434160292,-0.0,22.22222189800825,0.0
145.351573039047,-88.03020981117224,1.625,1.625,0.7473398060239952,0.6644420323339104,0,10444,-0.844049361862015,-0.004602518404511197,22.22222189800825,0.0
146.0142791380748,-88.77906048542225,1.625,1.625,0.7519756530628565,0.6591908807020092,0,10445,-0.8510540654139335,-0.009406723738434587,22.22222189800825,0.0
146.66992594847562,-89.53412820424701,1.625,1.625,0.7550677188247571,0.6556468104008266,0,10446,-0.8557573988866001,3.076226477610244e-14,22.22222189800825,0.0
147.32557275887646,-90.28919592307176,1.625,1.625,0.7550677188247571,0.6556468104008266,0,10447,-0.8557573988866001,-3.076226477610244e-14,22.22222189800825,0.0
147.98121956927727,-91.04426364189652,1.625,1.625,0.7550677188247602,0.6556468104008232,0,10448,-0.8557573988866047,2.1457629133948056e-14,22.22222189800825,0.0
148.6368663796781,-91.79933136072128,1.625,1.625,0.755907502256636,0.654678431011847,0,10449,-0.8570391925823295,-0.002563626098107874,22.22222189800825,0.0
149.29056475964322,-92.55606517003233,1.625,1.625,0.7608580805060694,0.6489183163762752,0,10450,-0.8646344162747598,-0.012626505129777183,22.22222189800825,0.0
149.93466664503296,-93.3210048808837,1.625,1.625,0.7649397108513805,0.6441018853897312,0,10451,-0.8709477233408746,-2.1762533443606355e-14,22.22222189800825,0.0
150.57876853042268,-94.08594459173509,1.625,1.625,0.7649397108513805,0.6441018853897312,0,10452,-0.8709477233408746,2.1762533443606355e-14,22.22222189800825,0.0
151.22287041581242,-94.85088430258646,1.625,1.625,0.7649397108513805,0.6441018853897312,0,10453,-0.8709477233408746,-2.1762533443606355e-14,22.22222189800825,0.0
151.86697230120214,-95.61582401343784,1.625,1.625,0.7649397108513805,0.6441018853897312,0,10454,-0.8709477233408746,2.1762533443606355e-14,22.22222189800825,0.0
152.51107418659188,-96.38076372428922,1.625,1.625,0.7679028027263751,0.6405663787344585,0,10455,-0.8755607222033053,-0.009225889389518087,22.22222189800825,0.0
153.14809133777743,-97.15161317045836,1.625,1.625,0.770859235582821,0.6370055250283697,0,10456,-0.880188919755946,-3.0396086733349457e-05,22.22222189800825,0.0
153.78508514718177,-97.92248208718838,1.625,1.625,0.7708689167300277,0.6369938094043566,0,10457,-0.8802041177971771,1.2864885037511507e-14,22.22222189800825,0.0
154.42207895658615,-98.69335100391842,1.625,1.625,0.7708689167300277,0.6369938094043566,0,10458,-0.8802041177971771,-1.2864885037511507e-14,22.22222189800825,0.0
155.0590727659905,-99.46421992064845,1.625,1.625,0.7708689167300347,0.636993809404348,0,10459,-0.8802041177971881,-9.038406410969868e-15,22.22222189800825,0.0
155.69606657539484,-100.23508883737848,1.625,1.625,0.7723021868894402,0.6352553282938981,0,10460,-0.8824572449726653,-0.004506251556828126,22.22222189800825,0.0
156.32957891626094,-101.00881881593925,1.625,1.625,0.7740150399368128,0.6331672116839391,0,10461,-0.885158004305212,-0.0008952551335133777,22.22222189800825,0.0
156.96239959471743,-101.78311720087743,1.625,1.625,0.77429838493818,0.632820678456485,0,10462,-0.8856056310145081,-0.0,22.22222189800825,0.0
157.5952202731739,-102.5574155858156,1.625,1.625,0.77429838493818,0.632820678456485,0,10463,-0.8856056310145081,-0.0,22.22222189800825,0.0
158.2280409516304,-103.33171397075378,1.625,1.625,0.7742983849381829,0.6328206784564815,0,10464,-0.8856056310145126,-8.985881872360205e-15,22.22222189800825,0.0
158.86086163008687,-104.10601235569197,1.625,1.625,0.7742983849381759,0.63282067845649,0,10465,-0.8856056310145016,3.101793298162772e-14,22.22222189800825,0.0
159.49368230854338,-104.88031074063015,1.625,1.625,0.7880900588351789,0.6155599557842958,0,10466,-0.9077000347016554,-0.04418916456742335,22.22222189800825,0.0
160.09156057165694,-105.68165351323702,1.625,1.625,0.8041397935078395,0.5944402345881117,0,10467,-0.9342269619463397,-0.008856348753545821,22.22222189800825,0.0
160.6824347983371,-106.48841720121827,1.625,1.625,0.8067636879812425,0.5908742266801831,0,10468,-0.9386542937189104,2.2906681495370956e-14,22.22222189800825,0.0
161.2733090250173,-107.29518088919951,1.625,1.625,0.80676368798124,0.5908742266801865,0,10469,-0.9386542937189062,-1.452442580621312e-14,22.22222189800825,0.0
161.86418325169748,-108.10194457718075,1.625,1.625,0.8067447800577147,0.5909000421811033,0,10470,-0.9386222945054828,6.399842710630519e-05,22.22222189800825,0.0
162.4551091063666,-108.90867044520145,1.625,1.625,0.8066882440900733,0.590977221935731,0,10471,-0.9385266230355008,0.0001273445127180166,22.22222189800825,0.0
163.04613769076485,-109.71532105880327,1.625,1.625,0.8066506136018156,0.5910285843982628,0,10472,-0.9384629507793352,8.452146744012419e-15,22.22222189800825,0.0
163.6371662751631,-110.52197167240507,1.625,1.625,0.8066506136018156,0.5910285843982628,0,10473,-0.9384629507793352,-8.452146744012419e-15,22.22222189800825,0.0
164.22819485956137,-111.32862228600689,1.625,1.625,0.8062618095239721,0.5915588681637105,0,10474,-0.9378054026834337,0.0013151008345913553,22.22222189800825,0.0
164.8202816045499,-112.13449201092692,1.625,1.625,0.8042323627919623,0.5943149894105462,0,10475,-0.9343827034851643,0.005530286496516742,22.22222189800825,0.0
165.41681813305894,-112.93707793788701,1.625,1.625,0.8052244141727085,0.5929701871259788,0,10476,-0.9360538287876268,-0.00887265472614857,22.22222189800825,0.0
166.00619892018713,-113.74490952680513,1.625,1.625,0.8091210483836224,0.5876420075714361,0,10477,-0.9426548449032774,-0.004329329342945816,22.22222189800825,0.0
166.59208810844365,-114.55530070338845,1.625,1.625,0.8103911765833237,0.5858891882565306,0,10478,-0.9448194702805552,2.3040225224432927e-14,22.22222189800825,0.0
167.1779772967002,-115.36569187997178,1.625,1.625,0.8102933358849987,0.5860244959217666,0,10479,-0.9446524943344279,0.0003339518993920196,22.22222189800825,0.0
167.7641370679054,-116.17588733038433,1.625,1.625,0.8140044446004951,0.5808586438804535,0,10480,-0.9510131933226091,-0.013055386445053127,22.22222189800825,0.0
168.33966362319296,-116.99365738063041,1.625,1.625,0.8182428088022343,0.5748727736146758,0,10481,-0.9583476745653369,-0.0016134735651657894,22.22222189800825,0.0
168.91387611021335,-117.81236368923554,1.625,1.625,0.8187063086051316,0.5742124870204052,0,10482,-0.9591544028276133,2.329221773030863e-14,22.22222189800825,0.0
169.48808859723377,-118.63106999784067,1.625,1.625,0.818552249217499,0.574432080668353,0,10483,-0.9588861572953704,0.0005364910681954038,22.22222189800825,0.0
170.0627402199517,-119.4494681141441,1.625,1.625,0.822768226138877,0.5683770280863626,0,10484,-0.9662643935434962,-0.015293381672435626,22.22222189800825,0.0
170.62478989621005,-120.27653008013372,1.625,1.625,0.828344691899648,0.5602187710186773,0,10485,-0.9761464441134897,-0.004470610817784988,22.22222189800825,0.0
171.1831557286743,-121.10612491927901,1.625,1.625,0.8295948391452926,0.5583658324642511,0,10486,-0.9783816737443067,-2.361026124777302e-14,22.22222189800825,0.0
171.74152156113854,-121.9357197584243,1.625,1.625,0.8294502070857388,0.5585806602142837,0,10487,-0.9781226961483458,0.0005179552097470269,22.22222189800825,0.0
172.30031698967855,-122.76502524520984,1.625,1.625,0.8354462593128731,0.5495721497675511,0,10488,-0.9889442970286821,-0.022163958469545886,22.22222189800825,0.0
172.84052697829156,-123.6064011514196,1.625,1.625,0.8446159619464438,0.5353726522949069,0,10489,-1.0058474321698507,-0.011642244218461733,22.22222189800825,0.0
173.37097461978257,-124.45411885185803,1.625,1.625,0.8477177004384246,0.5304476414910235,0,10490,-1.0116677937330425,2.4094597482788497e-14,22.22222189800825,0.0
173.9014222612736,-125.30183655229645,1.625,1.625,0.8474993458006272,0.5307964382581224,0,10491,-1.0112562868254749,0.0008230139682117682,22.22222189800825,0.0
174.43256731204846,-126.14911724927484,1.625,1.625,0.8495828412316386,0.5274552074676827,0,10492,-1.0151938998637562,-0.008698586483694941,22.22222189800825,0.0
174.95630224838777,-127.00095322404863,1.625,1.625,0.8540752430316952,0.5201494777853292,0,10493,-1.0237703683091661,-0.008454376077409894,22.22222189800825,0.0
175.47283689841126,-127.85721951167481,1.625,1.625,0.8562662876261782,0.5165346500234841,0,10494,-1.0279973864978318,-0.0,22.22222189800825,0.0
175.98937154843475,-128.713485799301,1.625,1.625,0.8601378889257822,0.510061576708439,0,10495,-1.0355399486933234,-0.015086015183645534,22.22222189800825,0.0
176.4929047465671,-129.57740202598202,1.625,1.625,0.8656760830806159,0.50060455369703,0,10496,-1.046499331928375,-0.0068328773503651625,22.22222189800825,0.0
176.99054901349007,-130.4447832475903,1.625,1.625,0.8673812216082809,0.4976442669229962,0,10497,-1.049915588144423,2.464065664416056e-14,22.22222189800825,0.0
177.48819328041307,-131.31216446919856,1.625,1.625,0.8673101357872814,0.4977681471936985,0,10498,-1.0497727612721226,0.0002856537508946841,22.22222189800825,0.0
177.986085288485,-132.17940348537545,1.625,1.625,0.8672066816776135,0.4979483620353643,0,10499,-1.0495649629513422,0.00012994289177875547,22.22222189800825,0.0
178.48408999314023,-133.0465778127983,1.625,1.625,0.8697204942456972,0.49354458956513775,0,10500,-1.0546357144431242,-0.010271906935482342,22.22222189800825,0.0
178.97314178906112,-133.9187868879691,1.625,1.625,0.8741340382399607,0.4856847570083901,0,10501,-1.0636499747362052,-0.007756690376225597,22.22222189800825,0.0
179.45543285453138,-134.79479791995874,1.625,1.625,0.8760110319896403,0.48229106547026723,0,10502,-1.0675281529996499,-0.0,22.22222189800825,0.0
179.93772392000164,-135.67080895194837,1.625,1.625,0.8759146057461971,0.48246616818227184,0,10503,-1.0673282555751817,0.0003997948768166664,22.22222189800825,0.0
180.42036514233732,-136.54662704329326,1.625,1.625,0.8797007323539378,0.47552772947110616,0,10504,-1.0752324956853494,-0.016210559041647435,22.22222189800825,0.0
180.88868902161104,-137.43004326044868,1.625,1.625,0.8870262220377395,0.46171905030814453,0,10505,-1.090864110917415,-0.015053186574068159,22.22222189800825,0.0
181.34371971320147,-138.32051901514993,1.625,1.625,0.8904757547012397,0.45503069159042164,0,10506,-1.0983896464607623,-0.0,22.22222189800825,0.0
181.7987504047919,-139.21099476985117,1.625,1.625,0.8903243107348229,0.45532693936836477,0,10507,-1.0980569333382055,0.000665426403045441,22.22222189800825,0.0
182.25437344909685,-140.1011673573145,1.625,1.625,0.8903359033698653,0.455304270977734,0,10508,-1.0980823939965052,-0.0007163591145039393,22.22222189800825,0.0
